date,source,title,description
2025-10-16,TOP_NEWS,Former Trump Aide John Bolton Is Said to Be Indicted Over Handling of Classified Information: Live Updates - The New York Times,Former Trump Aide John Bolton Is Said to Be Indicted Over Handling of Classified Information: Live Updates  The New York TimesFormer Trump national security adviser John Bolton indicted  CNNEx-National Security Advisor John Bolton indicted for improper handling of classified documents  Fox NewsOpinion | The John Bolton indictment  The Washington PostHow the Bolton Indictment Compares to Trump’s Classified Documents Case  The New York Times
2025-10-16,TOP_NEWS,Trump says he plans to meet Putin again as Ukraine war drags - NPR,Trump says he plans to meet Putin again as Ukraine war drags  NPRView Full Coverage on Google News
2025-10-16,TOP_NEWS,"U.S. military strikes another boat in Caribbean — and there are survivors, official says - CBS News","U.S. military strikes another boat in Caribbean — and there are survivors, official says  CBS NewsExclusive: In a first, US strike in Caribbean leaves survivors, US official says  ReutersUS military drone strike in Caribbean leaves survivors, official confirms  Fox NewsU.S. Military Killed Venezuelan Fisherman in Suspected Drug Boat Attack, Family Says  The New York TimesSome survivors after US strikes another suspected drug boat in the Caribbean, sources say  CNN"
2025-10-16,TOP_NEWS,USC rejects Trump education compact aimed at shifting the university to the right - Los Angeles Times,"USC rejects Trump education compact aimed at shifting the university to the right  Los Angeles Times4 universities decline White House offer for expanded access to federal funding in exchange for demands. Here’s what we know  CNNPenn, USC join growing list of universities declining Trump’s federal funding deal  PoliticoUSC rejects Trump proposal for funding in exchange for policy changes  LAistHow universities are responding to the Trump administration's 'compact' for funding  NBC News"
2025-10-16,TOP_NEWS,US admiral to retire amid military strikes in Caribbean and tensions with Venezuela - The Guardian,"US admiral to retire amid military strikes in Caribbean and tensions with Venezuela  The GuardianMilitary Commander Overseeing Escalating Attacks Off Venezuela Coast Is Stepping Down, Officials Say  The New York TimesTop military officer central to Trump’s drug war will step down early  The Washington PostSOUTHCOM commander announces sudden retirement amid Trump drug war in Caribbean  Fox NewsCommander overseeing US forces in the Caribbean to retire one year into tenure  CNN"
2025-10-16,TOP_NEWS,Government shutdown live updates as Senate vote on GOP funding bill fails for 10th time - CBS News,"Government shutdown live updates as Senate vote on GOP funding bill fails for 10th time  CBS NewsAnalysis | Why this shutdown is different — and shows signs of lasting  The Washington PostShutdown standstill: No headway until there's 'incentive,' politicos lament  Fox NewsSenate Democrats, holding out for health care, reject government funding bill for 10th time  AP NewsGovernment shutdown: Senate bill fails for 10th time, Kelly tells Trump to get involved  CNBC"
2025-10-16,TOP_NEWS,Judge orders ICE official into court as aggressive tactics continue despite her ruling: 'I'm not blind' - Chicago Sun-Times,"Judge orders ICE official into court as aggressive tactics continue despite her ruling: 'I'm not blind'  Chicago Sun-TimesFederal judge demands answers from Trump admin on following order to avoid violent encounters with Chicago protesters  CNNFederal Judge Sara Ellis orders ICE field director Russell Hott to testify, some agents to wear body cams in Chicago area  ABC7 ChicagoJudge orders federal immigration officers in Chicago area to wear body cameras  The GuardianNews Wrap: Judge says immigration officers operating in Chicago must wear body cameras  PBS"
2025-10-16,TOP_NEWS,"U.S. Chamber of Commerce sues Trump administration over $100,000 H-1B visa fee - CNBC","U.S. Chamber of Commerce sues Trump administration over $100,000 H-1B visa fee  CNBCH-1B visas: Chamber of Commerce sues Trump over $100K fee  BBCChamber of Commerce sues Trump to block $100,000 fee for H-1B visas  The Washington PostTrump’s visa fee sparks rare bipartisan interest in immigration legislation  PoliticoChamber of Commerce Sues Over Trump’s New $100,000 H-1B Visa Fee  The Wall Street Journal"
2025-10-16,TOP_NEWS,"White House releases plan to broaden access to IVF, fertility drugs - The Washington Post","White House releases plan to broaden access to IVF, fertility drugs  The Washington PostWATCH: Trump announces deal with EMD Serono to lower fertility drug prices  PBSTrump Strikes Deal With German Merck on Tariffs, IVF Costs  Bloomberg.comRFK Jr.’s Bonkers Teen Sperm Rant  The Daily BeastTrump announces plan to lower the cost of a common IVF drug  NBC News"
2025-10-16,TOP_NEWS,"EU proposes 'flagship' defence projects to counter drones, protect eastern border - Reuters","EU proposes 'flagship' defence projects to counter drones, protect eastern border  ReutersEU sets 2027 target for anti-drone system to defend against Russia  BBCEU Proposes Arms-Procurement Overhaul to Become Combat-Ready By 2030  The Wall Street JournalEU Military Plan Pitches Drone and Air Defense Projects for 2026  Bloomberg.comEU discusses ‘drone wall’ to protect airspace from Russian violations  Al Jazeera"
2025-10-16,TOP_NEWS,French PM Lecornu survives confidence votes but breathing space will not last long - BBC,French PM Lecornu survives confidence votes but breathing space will not last long  BBCFrench PM Lecornu escapes first no confidence vote after major concessions  CNNFrance’s Political Turmoil Is Weighing on Its Economy  The New York TimesFrance is on the brink as Macron’s government faces no-confidence votes  AP NewsWhy France keeps fighting over retirement age  Reuters
2025-10-16,TOP_NEWS,Afghanistan’s Taliban government blames Pakistan for twin drone strikes on Kabul - AP News,"Afghanistan’s Taliban government blames Pakistan for twin drone strikes on Kabul  AP NewsThe Man Behind Pakistan's Deadly New Enemy, Afghanistan  NDTVPakistan says it's ready for talks with Afghanistan, Kabul residents recall airstrike shock  ReutersNew violence on Pakistan-Afghan border kills more than a dozen civilians and troops  NBC NewsPakistan and Afghanistan announce ceasefire after deadliest clashes in years  Politico"
2025-10-16,TOP_NEWS,India casts doubt on Trump’s claims that it has agreed to stop buying Russian oil - The Guardian,"India casts doubt on Trump’s claims that it has agreed to stop buying Russian oil  The GuardianCheap oil, high stakes: Can India do without Russia?  BBCUS, UK ramp up pressure on India, China to cut Russian oil imports  ReutersCan Trump force India to give up buying Russian oil?  Al JazeeraIndia Tiptoes Around Trump’s Latest Claims on Russian Oil Purchases  The New York Times"
2025-10-16,TOP_NEWS,"Stock Market Today: Dow, Nasdaq Edge Higher; TSMC, Salesforce in Focus — Live Updates - The Wall Street Journal","Stock Market Today: Dow, Nasdaq Edge Higher; TSMC, Salesforce in Focus — Live Updates  The Wall Street JournalStock market today: Dow drops 300 points, S&P 500, Nasdaq slide as regional bank woes hit markets  Yahoo FinanceCNBC Daily Open: Bad loans by regional banks should concern us all  CNBCStocks sink on concerns about regional bank loans  CNNBanks’ Trio of Alleged Frauds Spark Fears of Broader Issues  Bloomberg.com"
2025-10-16,TOP_NEWS,US Nears Tariff Relief for Auto Industry After Lobbying Push - Bloomberg.com,"US Nears Tariff Relief for Auto Industry After Lobbying Push  Bloomberg.comCollaboration sustains auto suppliers amid tariffs, but challenges loom  The Detroit News‘This is existential’: Donald Trump’s tariffs drive US car sector into turmoil  Financial TimesUS Set To Announce 5-Year Extension For Arrangement Allowing Automakers To Reduce Tariff Payment On Imported Car Parts- Bloomberg News  TradingViewTariffs paid on cars and parts imported from Canada and Mexico top $10 billion this year, analysis shows  Automotive News"
2025-10-16,TOP_NEWS,The Small Company in Europe Caught in the Big Trade War Between the U.S. and China - The New York Times,The Small Company in Europe Caught in the Big Trade War Between the U.S. and China  The New York TimesCarmakers Push to Secure Chips as China Trade Spat Escalates  Bloomberg.comEuropean carmakers fear for production in dispute over chipmaker Nexperia  ReutersHow U.S. Pressured Netherlands to Oust CEO of Chinese-Owned Chip Maker  The Wall Street JournalThe Dutch seize control of Nexperia from its Chinese owner  The Economist
2025-10-16,TOP_NEWS,United Airlines CEO warns an extended shutdown will hurt bookings - CNBC,United Airlines CEO warns an extended shutdown will hurt bookings  CNBCUnited Airlines sees US shutdown as risk to travel confidence  Yahoo FinanceUnited CEO Scott Kirby Doubles Down on Brand Loyalty Amid Shutdown  observer.comUnited Airlines Warns Government Shutdown Could Hurt Bookings  SkiftUnited Airlines Ramps Up Premium Services Amid Government Shutdown Concerns  cointurk finance
2025-10-16,TOP_NEWS,AI-powered features begin creeping deeper into the bedrock of Windows 11 - Ars Technica,AI-powered features begin creeping deeper into the bedrock of Windows 11  Ars TechnicaMicrosoft's latest Windows 11 update puts AI at the center of your PC  Yahoo FinanceMaking every Windows 11 PC an AI PC  Windows BlogMicrosoft will test a Copilot AI feature that performs work on local files in Windows 11  CNBCMicrosoft's next Windows 11 AI gamble: Just say 'Hey Copilot'  Engadget
2025-10-16,TOP_NEWS,Windows 10 extended updates program not showing up? Here’s what to do - pcworld.com,"Windows 10 extended updates program not showing up? Here’s what to do  pcworld.comMicrosoft accidentally breaks Windows 10 to Windows 11 upgrade using MCT ahead of EOL  Windows LatestMicrosoft and Adobe Patch Tuesday, October 2025 Security Update Review  QualysWindows 10 support has ended, but here's how to get an extra year for free  EngadgetWindows 10 End of Life: Microsoft releases final update — everything you need to know  Tom's Guide"
2025-10-16,TOP_NEWS,Apple's M6 MacBook Pro generation will reportedly offer touchscreens - Engadget,"Apple's M6 MacBook Pro generation will reportedly offer touchscreens  EngadgetApple Readies Its First Ever Touch-Screen MacBook  Bloomberg.comMacBook Pro rumor points to OLED, touchscreen upgrades next year  The VergeNext year’s MacBook Pro rumors make new M5 model an easy ‘no’  9to5MacApple will finally debut a touchscreen MacBook Pro  Mashable"
